observation_id,battle_id,captured_at,track,game_version,context,result_scope,cohort,participant_scope,row_index,raw_name,raw_tier,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,visibility,transcription_status,source_key,source_image_sha256,note,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_001,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,1,Qartheen Enthroned Guardian,6,Qartheen Enthroned Guardian [T6],enthroned_guardian,confirmed_id,Ranged,ranged,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,85,90,0,0,0,0,85
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_002,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,2,Qartheen Pureborn Champion,5,Qartheen Pureborn Champion [T5],qartheen_champion,confirmed_id,Ranged,ranged,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,4,4,1,0,0,0,4
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_004,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,4,Lengii Criminal,2,Lengii Criminal [T2],yiti_criminal,confirmed_id,Ranged,ranged,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,18,1,0,0,0,0,18
rot_2026_09_16_185905_egon_deserters_victory_field__party_01__row_001,rot_2026_09_16_185905_egon_deserters_victory_field,2026-09-16T18:59:05-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,1,Qartheen Enthroned Guardian,6,Qartheen Enthroned Guardian [T6],enthroned_guardian,confirmed_id,Ranged,ranged,full,exact_visible,src_20260916_185905,ecb136913cbfc052f49b7119798447326353e8cb95746e0a92e52ff4c222c433,,88,48,0,0,0,0,88
rot_2026_09_16_185905_egon_deserters_victory_field__party_01__row_002,rot_2026_09_16_185905_egon_deserters_victory_field,2026-09-16T18:59:05-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,2,Lengii Mounted Slayer,4,Lengii Mounted Slayer [T4],,unresolved_provisional_label,,,full,exact_visible,src_20260916_185905,ecb136913cbfc052f49b7119798447326353e8cb95746e0a92e52ff4c222c433,,12,4,0,0,0,0,12
rot_2026_09_16_185905_egon_deserters_victory_field__party_01__row_003,rot_2026_09_16_185905_egon_deserters_victory_field,2026-09-16T18:59:05-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,3,Lengii Slaver,3,Lengii Slaver [T3],yiti_raider,confirmed_id,Infantry,infantry,full,exact_visible,src_20260916_185905,ecb136913cbfc052f49b7119798447326353e8cb95746e0a92e52ff4c222c433,,19,3,3,4,5,0,28
rot_2026_09_16_185905_egon_deserters_victory_field__party_01__row_008,rot_2026_09_16_185905_egon_deserters_victory_field,2026-09-16T18:59:05-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,8,Broken Guard,1,Broken Guard [T1],looter2,confirmed_id,Infantry,infantry,full,exact_visible,src_20260916_185905,ecb136913cbfc052f49b7119798447326353e8cb95746e0a92e52ff4c222c433,,1,1,0,0,0,0,1
rot_2026_09_16_185905_egon_deserters_victory_field__party_01__row_009,rot_2026_09_16_185905_egon_deserters_victory_field,2026-09-16T18:59:05-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,9,Braavosi Soldier,3,Braavosi Soldier [T3],,unresolved_provisional_label,,,full,exact_visible,src_20260916_185905,ecb136913cbfc052f49b7119798447326353e8cb95746e0a92e52ff4c222c433,,1,1,0,0,0,0,1
rot_2026_09_16_185905_egon_deserters_victory_field__party_01__row_010,rot_2026_09_16_185905_egon_deserters_victory_field,2026-09-16T18:59:05-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,10,Braavosi Footman,2,Braavosi Footman [T2],,unresolved_provisional_label,,,full,exact_visible,src_20260916_185905,ecb136913cbfc052f49b7119798447326353e8cb95746e0a92e52ff4c222c433,,5,1,1,2,3,0,10
rot_2026_09_16_185905_egon_deserters_victory_field__party_01__row_014,rot_2026_09_16_185905_egon_deserters_victory_field,2026-09-16T18:59:05-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,14,Qartheen Pureborn Warrior,4,Qartheen Pureborn Warrior [T4],qartheen_pureborn_warrior,confirmed_id,Infantry,infantry,full,exact_visible,src_20260916_185905,ecb136913cbfc052f49b7119798447326353e8cb95746e0a92e52ff4c222c433,,1,0,0,0,0,0,1
