item_id,piece_id,piece_type,scale_factor
mp_hatchet_axe,mp_hatchet_axe_head,Blade,110
mp_hatchet_axe,mp_hatchet_axe_handle,Handle,110
mp_aserai_axe,mp_aserai_axe_head,Blade,110
mp_aserai_axe,mp_aserai_axe_handle,Handle,110
mp_empire_axe,mp_empire_axe_head,Blade,110
mp_empire_axe,mp_empire_axe_handle,Handle,110
mp_empire_heavy_axe,mp_empire_heavy_axe_head,Blade,92
mp_empire_heavy_axe,mp_empire_heavy_axe_handle,Handle,107
mp_empire_heavy_axe,mp_spear_pommel_8,Pommel,
mp_empire_battle_axe,mp_empire_battle_axe_head,Blade,110
mp_empire_battle_axe,mp_empire_battle_axe_handle,Handle,110
mp_vlandian_billhook,mp_vlandian_billhook_head,Blade,104
mp_vlandian_billhook,mp_vlandian_billhook_handle,Handle,100
mp_vlandian_sickle,mp_vlandian_sickle_head,Blade,90
mp_vlandian_sickle,mp_vlandia_sickle_handle,Handle,90
mp_empire_long_twohandedaxe,mp_empire_2haxe_head,Blade,110
mp_empire_long_twohandedaxe,mp_empire_2haxe_handle,Handle,110
mp_empire_short_twohandedaxe,mp_empire_short_2axe_head,Blade,100
mp_empire_short_twohandedaxe,mp_empire_short_2haxe_handle,Handle,100
mp_battania_woodcutters_axe,mp_battania_woodcutters_axe_head,Blade,
mp_battania_woodcutters_axe,mp_battania_woodcutters_axe_handle,Handle,100
mp_aserai_twohanded_axe,mp_aserai_2haxe_head,Blade,100
mp_aserai_twohanded_axe,mp_aserai_2haxe_handle,Handle,110
mp_aserai_strong_twohanded_axe,mp_aserai_strong_2haxe_head,Blade,100
mp_aserai_strong_twohanded_axe,mp_aserai_strong_2haxe_handle,Handle,105
mp_sturgia_axe,mp_sturgia_axe_head,Blade,110
mp_sturgia_axe,mp_sturgia_axe_handle,Handle,110
mp_sturgia_heavy_axe,mp_sturgia_heavy_axe_head,Blade,110
mp_sturgia_heavy_axe,mp_sturgia_heavy_axe_handle,Handle,110
mp_sturgia_noble_axe,mp_sturgia_noble_axe_head,Blade,110
mp_sturgia_noble_axe,mp_sturgia_heavy_axe_handle,Handle,110
mp_sturgia_cavalry_axe,mp_sturgia_cavalry_axe_head,Blade,
mp_sturgia_cavalry_axe,mp_sturgia_cavalry_axe_handle,Handle,110
mp_sturgia_twohanded_axe,mp_sturgia_2haxe_head,Blade,110
mp_sturgia_twohanded_axe,mp_sturgia_2haxe_handle,Handle,95
mp_sturgia_long_twohanded_axe,mp_sturgia_long_2haxe_head,Blade,
mp_sturgia_long_twohanded_axe,mp_sturgia_long_2haxe_handle,Handle,110
mp_khuzait_light_axe,mp_khuzait_light_axe_head,Blade,110
mp_khuzait_light_axe,mp_empire_battle_axe_handle,Handle,94
mp_khuzait_light_axe,mp_spear_pommel_8,Pommel,
mp_khuzait_sichel,mp_khuzait_sichel_blade,Blade,100
mp_khuzait_sichel,mp_khuzait_sichel_handle,Handle,95
mp_sturgia_woodsplitter_axe,mp_sturiga_woodsplitter_axe_head,Blade,110
mp_sturgia_woodsplitter_axe,mp_sturiga_woodsplitter_axe_handle,Handle,110
mp_vlandian_axe,mp_vlandian_axe_head,Blade,110
mp_vlandian_axe,mp_empire_axe_handle,Handle,110
mp_vlandian_bastard_axe,mp_vlandia_bastard_axe_head,Blade,110
mp_vlandian_bastard_axe,mp_vlandia_bastard_axe_handle,Handle,110
mp_battania_axe,mp_battania_axe_head,Blade,110
mp_battania_axe,mp_battania_axe_handle,Handle,110
mp_vlandian_pick_axe,mp_vlandian_pick_axe_head,Blade,110
mp_vlandian_pick_axe,mp_vlandian_pick_axe_handle,Handle,110
mp_vlandian_halberd_lol,mp_vlandia_halberd_head,Blade,107
mp_vlandian_halberd_lol,mp_vlandia_halberd_handle,Handle,105
mp_test_axe,mp_test_axe_head,Blade,110
mp_test_axe,mp_test_axe_handle,Handle,110
mp_test_twohandedaxe,mp_test_2haxe_head,Blade,
mp_test_twohandedaxe,mp_test_2haxe_handle,Handle,103
mp_vlandian_polearm,mp_vlandia_polearm_head,Blade,110
mp_vlandian_polearm,mp_vlandia_polearm_handle,Handle,100
mp_empire_menavlion,mp_empire_menavlion_blade,Blade,90
mp_empire_menavlion,mp_spear_guard_3,Guard,110
mp_empire_menavlion,mp_empire_menavlion_handle,Handle,90
mp_empire_menavlion,mp_default_polearm_pommel,Pommel,
mp_empire_cavalry_menavlion,mp_empire_cavalry_menavlion_blade,Blade,90
mp_empire_cavalry_menavlion,mp_spear_guard_3,Guard,110
mp_empire_cavalry_menavlion,mp_empire_cavalry_menavlion_handle,Handle,90
mp_empire_cavalry_menavlion,mp_default_polearm_pommel,Pommel,
mp_empire_long_menavlion,mp_empire_long_menavlion_blade,Blade,90
mp_empire_long_menavlion,mp_spear_guard_3,Guard,110
mp_empire_long_menavlion,mp_empire_long_menavlion_handle,Handle,95
mp_empire_long_menavlion,mp_default_polearm_pommel,Pommel,
mp_empire_heavy_menavlion,mp_empire_heavy_menavlion_blade,Blade,104
mp_empire_heavy_menavlion,mp_spear_guard_6,Guard,110
mp_empire_heavy_menavlion,mp_empire_heavy_menavlion_handle,Handle,90
mp_empire_heavy_menavlion,mp_default_polearm_pommel,Pommel,
mp_empire_polearm,mp_empire_polearm_blade,Blade,110
mp_empire_polearm,mp_default_polearm_guard,Guard,
mp_empire_polearm,mp_empire_polearm_handle,Handle,109
mp_empire_polearm,mp_default_polearm_pommel,Pommel,
mp_khuzait_glaive,mp_khuzait_glaive_blade,Blade,96
mp_khuzait_glaive,mp_khuzait_glaive_handle,Handle,94
mp_khuzait_heavy_glaive,mp_khuzait_heavy_glaive_blade,Blade,100
mp_khuzait_heavy_glaive,mp_spear_guard_13,Guard,
mp_khuzait_heavy_glaive,mp_khuzait_heavy_glaive_handle,Handle,90
mp_khuzait_heavy_glaive,mp_default_polearm_pommel,Pommel,
mp_western_long_spear,mp_western_long_spear_blade,Blade,
mp_western_long_spear,mp_spear_guard_6,Guard,
mp_western_long_spear,mp_western_long_spear_handle,Handle,102
mp_western_long_spear,mp_spear_pommel_7,Pommel,90
mp_western_cavalry_spear,mp_western_cavalry_spear_blade,Blade,110
mp_western_cavalry_spear,mp_western_long_spear_handle,Handle,109
mp_western_cavalry_spear,mp_spear_pommel_7,Pommel,90
mp_western_short_spear,mp_sturgia_short_spear_blade,Blade,90
mp_western_short_spear,mp_western_spear_handle,Handle,90
mp_western_short_spear,mp_spear_pommel_7,Pommel,90
mp_western_spear,mp_western_spear_blade,Blade,100
mp_western_spear,mp_spear_guard_1,Guard,
mp_western_spear,mp_western_spear_handle,Handle,110
