item_id,name,item_kind,type,crafting_template,culture,modifier_group,source_xml,piece_ids,crafted_stats_reconstructed,score_usage_status
mp_hatchet_axe,Hatchet,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_hatchet_axe_head|mp_hatchet_axe_handle,False,audit_only_no_aggressive_htk
mp_aserai_axe,Aserai Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_aserai_axe_head|mp_aserai_axe_handle,False,audit_only_no_aggressive_htk
mp_empire_axe,Imperial Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_empire_axe_head|mp_empire_axe_handle,False,audit_only_no_aggressive_htk
mp_empire_heavy_axe,Imperial Heavy Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_empire_heavy_axe_head|mp_empire_heavy_axe_handle|mp_spear_pommel_8,False,audit_only_no_aggressive_htk
mp_empire_battle_axe,Imperial Battle Axe,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_empire_battle_axe_head|mp_empire_battle_axe_handle,False,audit_only_no_aggressive_htk
mp_vlandian_billhook,Bill,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_vlandian_billhook_head|mp_vlandian_billhook_handle,False,audit_only_no_aggressive_htk
mp_vlandian_sickle,Sickle,CraftedItem,CraftedWeapon,OneHandedSword,neutral_culture,,Native/ModuleData/mpitems.xml,mp_vlandian_sickle_head|mp_vlandia_sickle_handle,False,audit_only_no_aggressive_htk
mp_empire_long_twohandedaxe,Skoldern Twohanded Axe,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_empire_2haxe_head|mp_empire_2haxe_handle,False,audit_only_no_aggressive_htk
mp_empire_short_twohandedaxe,Short Skoldern Twohanded Axe,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_empire_short_2axe_head|mp_empire_short_2haxe_handle,False,audit_only_no_aggressive_htk
mp_battania_woodcutters_axe,Two Handed Woodcutter Axe,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_battania_woodcutters_axe_head|mp_battania_woodcutters_axe_handle,False,audit_only_no_aggressive_htk
mp_aserai_twohanded_axe,Tabar,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_aserai_2haxe_head|mp_aserai_2haxe_handle,False,audit_only_no_aggressive_htk
mp_aserai_strong_twohanded_axe,Bardiche,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_aserai_strong_2haxe_head|mp_aserai_strong_2haxe_handle,False,audit_only_no_aggressive_htk
mp_sturgia_axe,Raider Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_sturgia_axe_head|mp_sturgia_axe_handle,False,audit_only_no_aggressive_htk
mp_sturgia_heavy_axe,Raider Heavy Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_sturgia_heavy_axe_head|mp_sturgia_heavy_axe_handle,False,audit_only_no_aggressive_htk
mp_sturgia_noble_axe,Noble Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_sturgia_noble_axe_head|mp_sturgia_heavy_axe_handle,False,audit_only_no_aggressive_htk
mp_sturgia_cavalry_axe,Raider Cavalry Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_sturgia_cavalry_axe_head|mp_sturgia_cavalry_axe_handle,False,audit_only_no_aggressive_htk
mp_sturgia_twohanded_axe,Raider Twohanded Axe,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_sturgia_2haxe_head|mp_sturgia_2haxe_handle,False,audit_only_no_aggressive_htk
mp_sturgia_long_twohanded_axe,Long Twohanded Axe,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_sturgia_long_2haxe_head|mp_sturgia_long_2haxe_handle,False,audit_only_no_aggressive_htk
mp_khuzait_light_axe,Eastern Light Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_khuzait_light_axe_head|mp_empire_battle_axe_handle|mp_spear_pommel_8,False,audit_only_no_aggressive_htk
mp_khuzait_sichel,Eastern Sickle,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_khuzait_sichel_blade|mp_khuzait_sichel_handle,False,audit_only_no_aggressive_htk
mp_sturgia_woodsplitter_axe,Woodsplitter Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_sturiga_woodsplitter_axe_head|mp_sturiga_woodsplitter_axe_handle,False,audit_only_no_aggressive_htk
mp_vlandian_axe,Vlandian Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_vlandian_axe_head|mp_empire_axe_handle,False,audit_only_no_aggressive_htk
mp_vlandian_bastard_axe,Bastard Axe,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_vlandia_bastard_axe_head|mp_vlandia_bastard_axe_handle,False,audit_only_no_aggressive_htk
mp_battania_axe,Highland Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_battania_axe_head|mp_battania_axe_handle,False,audit_only_no_aggressive_htk
mp_vlandian_pick_axe,Pickaxe,CraftedItem,CraftedWeapon,OneHandedSword,neutral_culture,,Native/ModuleData/mpitems.xml,mp_vlandian_pick_axe_head|mp_vlandian_pick_axe_handle,False,audit_only_no_aggressive_htk
mp_vlandian_halberd_lol,Military Bill,CraftedItem,CraftedWeapon,TwoHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_vlandia_halberd_head|mp_vlandia_halberd_handle,False,audit_only_no_aggressive_htk
mp_test_axe,MP Test Axe,CraftedItem,CraftedWeapon,OneHandedAxe,neutral_culture,,Native/ModuleData/mpitems.xml,mp_test_axe_head|mp_test_axe_handle,False,audit_only_no_aggressive_htk
