troop_id,winner_module,defining_modules,overridden_modules,definition_count,change_type
mp_character,Native,Native,,1,inalterado
dummy_no_armor,Native,Native,,1,inalterado
dummy_light_armor,Native,Native,,1,inalterado
dummy_medium_armor,Native,Native,,1,inalterado
dummy_heavy_armor,Native,Native,,1,inalterado
mp_light_infantry_vlandia_hero,Native,Native,,1,inalterado
mp_shock_infantry_vlandia_hero,Native,Native,,1,inalterado
mp_heavy_infantry_vlandia_hero,Native,Native,,1,inalterado
mp_light_ranged_vlandia_hero,Native,Native,,1,inalterado
mp_heavy_ranged_vlandia_hero,Native,Native,,1,inalterado
mp_light_cavalry_vlandia_hero,Native,Native,,1,inalterado
mp_heavy_cavalry_vlandia_hero,Native,Native,,1,inalterado
mp_skirmisher_empire_hero,Native,Native,,1,inalterado
mp_shock_infantry_empire_hero,Native,Native,,1,inalterado
mp_heavy_infantry_empire_hero,Native,Native,,1,inalterado
mp_light_ranged_empire_hero,Native,Native,,1,inalterado
mp_heavy_ranged_empire_hero,Native,Native,,1,inalterado
mp_light_cavalry_empire_hero,Native,Native,,1,inalterado
mp_heavy_cavalry_empire_hero,Native,Native,,1,inalterado
mp_light_infantry_khuzait_hero,Native,Native,,1,inalterado
mp_heavy_infantry_khuzait_hero,Native,Native,,1,inalterado
mp_light_ranged_khuzait_hero,Native,Native,,1,inalterado
mp_heavy_ranged_khuzait_hero,Native,Native,,1,inalterado
mp_light_cavalry_khuzait_hero,Native,Native,,1,inalterado
mp_heavy_cavalry_khuzait_hero,Native,Native,,1,inalterado
mp_horse_archer_khuzait_hero,Native,Native,,1,inalterado
mp_light_infantry_aserai_hero,Native,Native,,1,inalterado
mp_shock_infantry_aserai_hero,Native,Native,,1,inalterado
mp_skirmisher_aserai_hero,Native,Native,,1,inalterado
mp_light_ranged_aserai_hero,Native,Native,,1,inalterado
mp_heavy_ranged_aserai_hero,Native,Native,,1,inalterado
mp_light_cavalry_aserai_hero,Native,Native,,1,inalterado
mp_heavy_cavalry_aserai_hero,Native,Native,,1,inalterado
mp_light_infantry_sturgia_hero,Native,Native,,1,inalterado
mp_heavy_infantry_sturgia_hero,Native,Native,,1,inalterado
mp_shock_infantry_sturgia_hero,Native,Native,,1,inalterado
mp_skirmisher_sturgia_hero,Native,Native,,1,inalterado
mp_light_ranged_sturgia_hero,Native,Native,,1,inalterado
mp_light_cavalry_sturgia_hero,Native,Native,,1,inalterado
mp_heavy_cavalry_sturgia_hero,Native,Native,,1,inalterado
mp_light_infantry_battania_hero,Native,Native,,1,inalterado
mp_heavy_infantry_battania_hero,Native,Native,,1,inalterado
mp_shock_infantry_battania_hero,Native,Native,,1,inalterado
mp_skirmisher_battania_hero,Native,Native,,1,inalterado
mp_light_ranged_battania_hero,Native,Native,,1,inalterado
mp_heavy_ranged_battania_hero,Native,Native,,1,inalterado
mp_light_cavalry_battania_hero,Native,Native,,1,inalterado
mp_light_infantry_vlandia_troop,Native,Native,,1,inalterado
mp_shock_infantry_vlandia_troop,Native,Native,,1,inalterado
mp_heavy_infantry_vlandia_troop,Native,Native,,1,inalterado
mp_light_ranged_vlandia_troop,Native,Native,,1,inalterado
mp_heavy_ranged_vlandia_troop,Native,Native,,1,inalterado
mp_light_cavalry_vlandia_troop,Native,Native,,1,inalterado
mp_heavy_cavalry_vlandia_troop,Native,Native,,1,inalterado
mp_heavy_infantry_empire_troop,Native,Native,,1,inalterado
mp_shock_infantry_empire_troop,Native,Native,,1,inalterado
mp_skirmisher_empire_troop,Native,Native,,1,inalterado
mp_light_ranged_empire_troop,Native,Native,,1,inalterado
mp_heavy_ranged_empire_troop,Native,Native,,1,inalterado
mp_light_cavalry_empire_troop,Native,Native,,1,inalterado
mp_heavy_cavalry_empire_troop,Native,Native,,1,inalterado
mp_light_infantry_khuzait_troop,Native,Native,,1,inalterado
mp_heavy_infantry_khuzait_troop,Native,Native,,1,inalterado
mp_light_ranged_khuzait_troop,Native,Native,,1,inalterado
mp_heavy_ranged_khuzait_troop,Native,Native,,1,inalterado
mp_light_cavalry_khuzait_troop,Native,Native,,1,inalterado
mp_heavy_cavalry_khuzait_troop,Native,Native,,1,inalterado
mp_horse_archer_khuzait_troop,Native,Native,,1,inalterado
mp_light_infantry_aserai_troop,Native,Native,,1,inalterado
mp_shock_infantry_aserai_troop,Native,Native,,1,inalterado
mp_skirmisher_aserai_troop,Native,Native,,1,inalterado
mp_light_ranged_aserai_troop,Native,Native,,1,inalterado
mp_heavy_ranged_aserai_troop,Native,Native,,1,inalterado
mp_light_cavalry_aserai_troop,Native,Native,,1,inalterado
mp_heavy_cavalry_aserai_troop,Native,Native,,1,inalterado
mp_light_infantry_sturgia_troop,Native,Native,,1,inalterado
mp_heavy_infantry_sturgia_troop,Native,Native,,1,inalterado
mp_shock_infantry_sturgia_troop,Native,Native,,1,inalterado
mp_skirmisher_sturgia_troop,Native,Native,,1,inalterado
mp_light_ranged_sturgia_troop,Native,Native,,1,inalterado
mp_light_cavalry_sturgia_troop,Native,Native,,1,inalterado
mp_heavy_cavalry_sturgia_troop,Native,Native,,1,inalterado
mp_light_infantry_battania_troop,Native,Native,,1,inalterado
mp_heavy_infantry_battania_troop,Native,Native,,1,inalterado
mp_shock_infantry_battania_troop,Native,Native,,1,inalterado
mp_skirmisher_battania_troop,Native,Native,,1,inalterado
mp_light_ranged_battania_troop,Native,Native,,1,inalterado
mp_heavy_ranged_battania_troop,Native,Native,,1,inalterado
mp_light_cavalry_battania_troop,Native,Native,,1,inalterado
looter,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
deserter,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
sea_raiders_bandit,NightmareSailsxDTAB,Sandbox|NavalDLC|NightmareSailsxDTAB,Sandbox|NavalDLC,3,override
sea_raiders_raider,NightmareSailsxDTAB,Sandbox|NavalDLC|NightmareSailsxDTAB,Sandbox|NavalDLC,3,override
sea_raiders_chief,NightmareSailsxDTAB,Sandbox|NavalDLC|NightmareSailsxDTAB,Sandbox|NavalDLC,3,override
mountain_bandits_bandit,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
mountain_bandits_raider,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
mountain_bandits_chief,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
forest_bandits_bandit,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
forest_bandits_raider,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
forest_bandits_chief,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
desert_bandits_bandit,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
desert_bandits_raider,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
desert_bandits_chief,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
steppe_bandits_bandit,NightmareSailsxDTAB,Sandbox|NightmareSailsxDTAB,Sandbox,2,override
