troop_id,troop_name,level,upgrade_depth,tree_tier,line_status,culture,default_group,roster_index,items,weapon_items,direct_weapon_items,crafted_weapon_items,crafted_templates,has_bow,has_crossbow,has_arrows,has_bolts,has_shield,has_horse,has_horse_harness,has_throwing,armor_total,shield_hp_max,horse_speed_max,horse_charge_max,horse_harness_armor_max,crafted_weapon_stat_status,unknown_item_count
ROT_mercenary1,Realm Scout,16.0,,,,neutral_culture,Cavalry,0,western_spear_3_t3|vlandia_sword_2_t3|thinhide_coif|jaime_leather2|jon_snow_boots|vlandia_horse|light_harness,western_spear_3_t3|vlandia_sword_2_t3,,western_spear_3_t3|vlandia_sword_2_t3,OneHandedSword|TwoHandedPolearm,False,False,False,False,False,True,True,False,91.0,0.0,53.0,22.0,10.0,not_reconstructed,0
ROT_mercenary2,Realm Horseman,21.0,,,,neutral_culture,Cavalry,0,vlandia_sword_3_t4|western_spear_3_t3|reinforced_kite_shield|dondarion_coif|jaime_leather2|jon_snow_boots|karstark_gloves|vlandia_horse|halfchain_barding,vlandia_sword_3_t4|western_spear_3_t3|reinforced_kite_shield,reinforced_kite_shield,vlandia_sword_3_t4|western_spear_3_t3,OneHandedSword|TwoHandedPolearm,False,False,False,False,True,True,True,False,134.0,500.0,53.0,22.0,52.0,not_reconstructed,0
ROT_mercenary4,Realm Sellsword,26.0,,,,neutral_culture,Cavalry,0,vlandia_sword_3_t4|western_spear_3_t3|reinforced_kite_shield|dondarion_coif|jaime_leather2|jon_snow_boots|karstark_gloves|tabard_pauldrons3|hunter|rot_horse_mail5,vlandia_sword_3_t4|western_spear_3_t3|reinforced_kite_shield,reinforced_kite_shield,vlandia_sword_3_t4|western_spear_3_t3,OneHandedSword|TwoHandedPolearm,False,False,False,False,True,True,True,False,163.0,500.0,48.0,16.0,72.0,not_reconstructed,0
ROT_mercenary5,Realm Master Sellsword,31.0,,,,neutral_culture,Cavalry,0,vlandia_sword_3_t4|sturgia_lance_2_t5|reinforced_kite_shield|dunc_helmet|jaime_leather2|jon_snow_boots|karstark_gloves|tabard_pauldrons3|t2_vlandia_horse|rot_horse_mail5,vlandia_sword_3_t4|sturgia_lance_2_t5|reinforced_kite_shield,reinforced_kite_shield,vlandia_sword_3_t4|sturgia_lance_2_t5,OneHandedSword|TwoHandedPolearm,False,False,False,False,True,True,True,False,188.0,500.0,58.0,30.0,72.0,not_reconstructed,0
ROTuniqueleader_spc_brave_companions_0,Vargo Hoat,,,,,qohorik,Infantry,0,star_falchion_sword_t3|decorated_steppe_shield|eastern_javelin_1_t2|vargo_armor|vargo_boots|vargo_cloak|vargo_helmet|zorse|saddle_of_aeneas,star_falchion_sword_t3|decorated_steppe_shield|eastern_javelin_1_t2,decorated_steppe_shield,star_falchion_sword_t3|eastern_javelin_1_t2,Javelin|OneHandedSword,False,False,False,False,True,True,True,True,147.0,340.0,72.0,50.0,76.0,not_reconstructed,0
ROTuniqueleader_spc_brave_companions_0,Vargo Hoat,,,,,qohorik,Infantry,1,empire_sword_4_t4|vargo_armor|leather_cavalier_boots,empire_sword_4_t4,,empire_sword_4_t4,OneHandedSword,False,False,False,False,False,False,False,False,63.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_bright_banners_0,Grazdan zo Moqar,,,,,ghiscari,Cavalry,0,empire_sword_4_t4|bound_desert_round_shield|northern_spear_4_t5|veteran_mercenary_armor|wrapped_leather_boots|woven_leather_shoulders|woven_leather_bracers|t2_empire_horse|half_mail_and_plate_barding,empire_sword_4_t4|bound_desert_round_shield|northern_spear_4_t5,bound_desert_round_shield,empire_sword_4_t4|northern_spear_4_t5,OneHandedSword|TwoHandedPolearm,False,False,False,False,True,True,True,False,70.0,240.0,54.0,26.0,58.0,not_reconstructed,0
ROTuniqueleader_spc_bright_banners_0,Grazdan zo Moqar,,,,,ghiscari,Cavalry,1,empire_sword_4_t4|steppe_armor|leather_cavalier_boots,empire_sword_4_t4,,empire_sword_4_t4,OneHandedSword,False,False,False,False,False,False,False,False,15.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_brotherhood_0,Beric Dondarrion,,,,,stormlands,Cavalry,0,vlandia_lance_2_t4|heavy_horsemans_kite_shield|vlandia_sword_3_t4|reach_armor|leather_cavalier_boots|gauntlets|t2_vlandia_horse|chain_barding,vlandia_lance_2_t4|heavy_horsemans_kite_shield|vlandia_sword_3_t4,heavy_horsemans_kite_shield,vlandia_lance_2_t4|vlandia_sword_3_t4,OneHandedSword|TwoHandedPolearm,False,False,False,False,True,True,True,False,69.0,350.0,58.0,30.0,64.0,not_reconstructed,1
ROTuniqueleader_spc_brotherhood_0,Beric Dondarrion,,,,,stormlands,Cavalry,1,vlandia_sword_3_t4|cloth_tunic|leather_cavalier_boots,vlandia_sword_3_t4,,vlandia_sword_3_t4,OneHandedSword,False,False,False,False,False,False,False,False,10.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_brotherhood_1,Thoros of Myr,,,,,myrish,Cavalry,0,vlandia_lance_2_t4|heavy_horsemans_kite_shield|vlandia_sword_3_t4|reach_armor|leather_cavalier_boots|gauntlets|t2_vlandia_horse|chain_barding,vlandia_lance_2_t4|heavy_horsemans_kite_shield|vlandia_sword_3_t4,heavy_horsemans_kite_shield,vlandia_lance_2_t4|vlandia_sword_3_t4,OneHandedSword|TwoHandedPolearm,False,False,False,False,True,True,True,False,69.0,350.0,58.0,30.0,64.0,not_reconstructed,1
ROTuniqueleader_spc_brotherhood_1,Thoros of Myr,,,,,myrish,Cavalry,1,vlandia_sword_3_t4|cloth_tunic|leather_cavalier_boots,vlandia_sword_3_t4,,vlandia_sword_3_t4,OneHandedSword,False,False,False,False,False,False,False,False,10.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_brotherhood_2,Anguy,,,,,river,Ranged,0,lowland_yew_bow|barbed_arrows|barbed_arrows|vlandia_sword_3_t4|leather_and_iron_plate_armor|leather_cavalier_boots|leather_gloves|green_hood,lowland_yew_bow|barbed_arrows|barbed_arrows|vlandia_sword_3_t4,lowland_yew_bow|barbed_arrows|barbed_arrows,vlandia_sword_3_t4,OneHandedSword,True,False,True,False,False,False,False,False,44.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_brotherhood_2,Anguy,,,,,river,Ranged,1,vlandia_sword_3_t4|cloth_tunic|leather_cavalier_boots,vlandia_sword_3_t4,,vlandia_sword_3_t4,OneHandedSword,False,False,False,False,False,False,False,False,10.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_faith_militant_0,High Sparrow,,,,,crownlands,Infantry,0,vlandia_mace_3_t5|monk_robe|ragged_boots,vlandia_mace_3_t5,,vlandia_mace_3_t5,Mace,False,False,False,False,False,False,False,False,13.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_faith_militant_0,High Sparrow,,,,,crownlands,Infantry,1,monk_robe|ragged_boots,,,,,False,False,False,False,False,False,False,False,13.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_faith_militant_1,Septa Unella,,,,,crownlands,Infantry,0,vlandia_mace_3_t5|plain_dress|ladys_shoes|head_scarf,vlandia_mace_3_t5,,vlandia_mace_3_t5,Mace,False,False,False,False,False,False,False,False,6.0,0.0,0.0,0.0,0.0,not_reconstructed,1
ROTuniqueleader_spc_faith_militant_1,Septa Unella,,,,,crownlands,Infantry,1,plain_dress|ladys_shoes|head_scarf,,,,,False,False,False,False,False,False,False,False,6.0,0.0,0.0,0.0,0.0,not_reconstructed,1
ROTuniqueleader_spc_golden_company_0,Bloodbeard,,,,,lyseni,Cavalry,0,empire_sword_5_t4|stronger_reinforced_kite_shield|imperial_throwing_spear_1_t4|empire_legion_b|lamellar_plate_boots|lamellar_plate_gauntlets|pauldron_cape_a|t2_empire_horse|half_scale_barding,empire_sword_5_t4|stronger_reinforced_kite_shield|imperial_throwing_spear_1_t4,stronger_reinforced_kite_shield,empire_sword_5_t4|imperial_throwing_spear_1_t4,OneHandedSword|TwoHandedPolearm,False,False,False,False,True,True,True,False,120.0,530.0,54.0,26.0,60.0,not_reconstructed,0
ROTuniqueleader_spc_golden_company_0,Bloodbeard,,,,,lyseni,Cavalry,1,empire_sword_4_t4|steppe_armor|leather_cavalier_boots,empire_sword_4_t4,,empire_sword_4_t4,OneHandedSword,False,False,False,False,False,False,False,False,15.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_long_lances_0,Gylo Rhegan,,,,,empire,Cavalry,0,winds_fury_sword_t3|curved_round_shield|khuzait_lance_2_t4|studded_leather_over_aketon|northern_plated_boots|imperial_lamellar_shoulders|northern_brass_bracers|t2_empire_horse|steppe_half_barding,winds_fury_sword_t3|curved_round_shield|khuzait_lance_2_t4,curved_round_shield,winds_fury_sword_t3|khuzait_lance_2_t4,OneHandedSword|TwoHandedPolearm,False,False,False,False,True,True,True,False,131.0,345.0,54.0,26.0,38.0,not_reconstructed,0
ROTuniqueleader_spc_long_lances_0,Gylo Rhegan,,,,,empire,Cavalry,1,empire_sword_4_t4|steppe_armor|leather_cavalier_boots,empire_sword_4_t4,,empire_sword_4_t4,OneHandedSword,False,False,False,False,False,False,False,False,15.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_moon_brothers_0,Ulf,,,,,vale,Infantry,0,aserai_axe_1_t2|wildling_shield2|highland_throwing_axe_1_t2|northern_axe_t3|buckled_wildsman_armor|reinforced_suede_boots|steppe_leather_vambraces,aserai_axe_1_t2|wildling_shield2|highland_throwing_axe_1_t2|northern_axe_t3,wildling_shield2,aserai_axe_1_t2|highland_throwing_axe_1_t2|northern_axe_t3,OneHandedAxe|ThrowingAxe|TwoHandedAxe,False,False,False,False,True,False,False,True,72.0,420.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_moon_brothers_0,Ulf,,,,,vale,Infantry,1,vlandia_sword_3_t4|cloth_tunic|leather_cavalier_boots,vlandia_sword_3_t4,,vlandia_sword_3_t4,OneHandedSword,False,False,False,False,False,False,False,False,10.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_stone_crows_0,Dolf,,,,,vale,Infantry,0,aserai_axe_1_t2|wildling_shield2|highland_throwing_axe_1_t2|northern_axe_t3|crude_leather_armor|reinforced_suede_boots|steppe_leather_vambraces,aserai_axe_1_t2|wildling_shield2|highland_throwing_axe_1_t2|northern_axe_t3,wildling_shield2,aserai_axe_1_t2|highland_throwing_axe_1_t2|northern_axe_t3,OneHandedAxe|ThrowingAxe|TwoHandedAxe,False,False,False,False,True,False,False,True,57.0,420.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_stone_crows_0,Dolf,,,,,vale,Infantry,1,vlandia_sword_3_t4|cloth_tunic|leather_cavalier_boots,vlandia_sword_3_t4,,vlandia_sword_3_t4,OneHandedSword,False,False,False,False,False,False,False,False,10.0,0.0,0.0,0.0,0.0,not_reconstructed,0
ROTuniqueleader_spc_wild_hares_0,Benfred Tallhart,,,,,battania,Cavalry,0,stark_sword|western_riders_kite_shield|vlandia_lance_2_t4|stark_armor_4|stark_boots_2|kg_gloves|t2_battania_horse|halfchain_barding,stark_sword|western_riders_kite_shield|vlandia_lance_2_t4,western_riders_kite_shield,stark_sword|vlandia_lance_2_t4,OneHandedSword|TwoHandedPolearm,False,False,False,False,True,True,True,False,78.0,270.0,55.0,22.0,52.0,not_reconstructed,1
ROTuniqueleader_spc_wild_hares_0,Benfred Tallhart,,,,,battania,Cavalry,1,vlandia_sword_3_t4|cloth_tunic|leather_cavalier_boots,vlandia_sword_3_t4,,vlandia_sword_3_t4,OneHandedSword,False,False,False,False,False,False,False,False,10.0,0.0,0.0,0.0,0.0,not_reconstructed,0
