troop_id,tree_root_id,upgrade_depth,tree_tier,upgrade_path,line_status,line_status_corrected,name,level,occupation,culture,default_group,has_upgrade_targets
angry_wight,wight_recruit,2,2,wight_recruit|angry_wight,main_or_minor_line,main_or_minor_line,Angry Wight,11.0,Soldier,whitewalker,Infantry,True
arryn_archer,arryn_recruit,4,4,arryn_recruit|arryn_levy|arryn_footman|arryn_archer,main_or_minor_line,main_or_minor_line,Arryn Archer,21.0,Soldier,vale,Ranged,True
arryn_footman,arryn_recruit,3,3,arryn_recruit|arryn_levy|arryn_footman,main_or_minor_line,main_or_minor_line,Arryn Footman,16.0,Soldier,vale,Infantry,True
arryn_horseman,arryn_recruit,4,4,arryn_recruit|arryn_levy|arryn_rider|arryn_horseman,main_or_minor_line,main_or_minor_line,Arryn Horseman,21.0,Soldier,vale,Cavalry,True
arryn_houseguard,arryn_recruit,5,5,arryn_recruit|arryn_levy|arryn_footman|arryn_man_at_arms|arryn_houseguard,main_or_minor_line,main_or_minor_line,Arryn House Guard,26.0,Soldier,vale,Infantry,False
arryn_knight,arryn_recruit,5,5,arryn_recruit|arryn_levy|arryn_rider|arryn_horseman|arryn_knight,main_or_minor_line,main_or_minor_line,Arryn Knight,26.0,Soldier,vale,Cavalry,True
arryn_levy,arryn_recruit,2,2,arryn_recruit|arryn_levy,main_or_minor_line,main_or_minor_line,Arryn Levy,11.0,Soldier,vale,Infantry,True
arryn_man_at_arms,arryn_recruit,4,4,arryn_recruit|arryn_levy|arryn_footman|arryn_man_at_arms,main_or_minor_line,main_or_minor_line,Arryn Man at Arms,21.0,Soldier,vale,Infantry,True
arryn_master_archer,arryn_recruit,5,5,arryn_recruit|arryn_levy|arryn_footman|arryn_archer|arryn_master_archer,main_or_minor_line,main_or_minor_line,Arryn Master Archer,26.0,Soldier,vale,Ranged,False
arryn_moonknight,arryn_recruit,6,6,arryn_recruit|arryn_levy|arryn_rider|arryn_horseman|arryn_knight|arryn_moonknight,main_or_minor_line,main_or_minor_line,Arryn Winged Knight,31.0,Soldier,vale,Cavalry,False
arryn_recruit,arryn_recruit,1,1,arryn_recruit,main_or_minor_line,main_or_minor_line,Arryn Recruit,6.0,Soldier,vale,Infantry,True
arryn_rider,arryn_recruit,3,3,arryn_recruit|arryn_levy|arryn_rider,main_or_minor_line,main_or_minor_line,Arryn Rider,16.0,Soldier,vale,Cavalry,True
aserai_faris,aserai_youth,3,3,aserai_youth|aserai_tribal_horseman|aserai_faris,noble_line,noble_line,Aserai Faris,21.0,Soldier,aserai,Cavalry,True
aserai_footman,aserai_recruit,3,3,aserai_recruit|aserai_tribesman|aserai_footman,main_or_minor_line,main_or_minor_line,Aserai Footman,16.0,Soldier,aserai,Infantry,True
aserai_infantry,aserai_recruit,4,4,aserai_recruit|aserai_tribesman|aserai_footman|aserai_infantry,main_or_minor_line,main_or_minor_line,Aserai Infantry,21.0,Soldier,aserai,Infantry,True
aserai_mameluke_axeman,aserai_recruit,3,3,aserai_recruit|aserai_mameluke_soldier|aserai_mameluke_axeman,main_or_minor_line,main_or_minor_line,Aserai Mamluke Axeman,16.0,Soldier,aserai,Infantry,True
aserai_mameluke_cavalry,aserai_recruit,4,4,aserai_recruit|aserai_mameluke_soldier|aserai_mameluke_regular|aserai_mameluke_cavalry,main_or_minor_line,main_or_minor_line,Aserai Mamluke Cavalry,21.0,Soldier,aserai,HorseArcher,True
aserai_mameluke_guard,aserai_recruit,4,4,aserai_recruit|aserai_mameluke_soldier|aserai_mameluke_axeman|aserai_mameluke_guard,main_or_minor_line,main_or_minor_line,Aserai Mamluke Guard,21.0,Soldier,aserai,Infantry,True
