troop_id,troop_name,is_soldier,roster_index,slot,item_id,default_group,occupation,culture,severity,allowlist_reason
ROTuniqueleader_spc_wild_hares_0,Benfred Tallhart,False,0,Gloves,kg_gloves,Cavalry,Lord,battania,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
ROTwanderer30,Ser Harlan Blackhare,False,0,Gloves,kg_gloves,Cavalry,Wanderer,stormlands,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
ROTwanderer7,Gendry,False,0,Gloves,kg_gloves,Infantry,Wanderer,stormlands,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
beastbound_wight,Beastbound Wight,True,0,Item2,wildling_shield,Cavalry,Soldier,whitewalker,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
bracken_archer,Bracken Archer,True,0,Gloves,kg_gloves,Ranged,Soldier,river,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
bracken_elite_archer,Bracken Elite Archer,True,0,Gloves,kg_gloves,Ranged,Soldier,river,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
caravan_master_wight,Dead Caravan Master,False,0,Gloves,kg_gloves,Infantry,CaravanGuard,whitewalker,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
cursed_wight,Cursed Wight,True,0,Item1,wildling_shield,Infantry,Soldier,whitewalker,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
cursed_wight,Cursed Wight,True,1,Item1,wildling_shield,Infantry,Soldier,whitewalker,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
pentoshi_horseman,Pentoshi Horseman,True,0,Item2,triangular_spear_t3,Cavalry,Soldier,pentoshi,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
pentoshi_soldier,Pentoshi Soldier,True,0,Item2,triangular_spear_t3,Infantry,Soldier,pentoshi,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
qohorik_goat_devout,Black Goat Devout,True,0,Cape,chainmail_reinforcements,Infantry,Soldier,qohorik,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
qohorik_goat_sacrificer,Black Goat Sacrificer,True,0,Cape,chainmail_reinforcements,Cavalry,Soldier,qohorik,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
spc_wild_hares_1,of the Wildhares,False,0,Gloves,kg_gloves,Cavalry,Lord,battania,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
spc_wild_hares_2,of the Wildhares,False,0,Gloves,kg_gloves,Cavalry,Lord,battania,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
spc_wild_hares_3,of the Wildhares,False,0,Gloves,kg_gloves,Cavalry,Lord,battania,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
veteran_caravan_guard_wight,Dead Veteran Caravan Guard,False,0,Gloves,kg_gloves,Cavalry,CaravanGuard,whitewalker,allowed,referenced_on_soldiers_but_no_Item_or_CraftedItem_definition_in_export_20260729_025002
ROTuniqueleader_spc_brotherhood_0,Beric Dondarrion,False,0,Gloves,gauntlets,Cavalry,Lord,stormlands,info,
ROTuniqueleader_spc_brotherhood_1,Thoros of Myr,False,0,Gloves,gauntlets,Cavalry,Lord,myrish,info,
ROTuniqueleader_spc_faith_militant_1,Septa Unella,False,0,Leg,ladys_shoes,Infantry,Lord,crownlands,info,
ROTuniqueleader_spc_faith_militant_1,Septa Unella,False,1,Leg,ladys_shoes,Infantry,Lord,crownlands,info,
ROTwanderer13,Syrio Forel,False,0,Gloves,braavos_glove,Infantry,Wanderer,empire,info,
ROTwanderer13,Syrio Forel,False,0,Item0,bravos_sword,Infantry,Wanderer,empire,info,
ROTwanderer41,Ser Osbert Tempest,False,0,Gloves,gauntlets,Infantry,Wanderer,stormlands,info,
