battle_group_id,screenshot_count,start_time,end_time,screenshot_indices,filenames,context_guess,transcription_status,notes
rot_empirical_20260703_001,1,2026-06-07 00:53:39,2026-06-07 00:53:39,27,Mount and Blade II Bannerlord - Singleplayer PID_ 1924 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 07_06_2026 00_53_39.png,battle_result_scoreboard,pending,
rot_empirical_20260703_002,1,2026-06-07 01:10:03,2026-06-07 01:10:03,28,Mount and Blade II Bannerlord - Singleplayer PID_ 1924 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 07_06_2026 01_10_03.png,battle_result_scoreboard,pending,
rot_empirical_20260703_003,2,2026-07-01 01:53:16,2026-07-01 01:53:18,31|32,Mount and Blade II Bannerlord - Singleplayer PID_ 20204 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 01_53_16.png|Mount and Blade II Bannerlord - Singleplayer PID_ 20204 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 01_53_18.png,battle_result_scoreboard,pending,
rot_empirical_20260703_004,1,2026-07-01 10:42:54,2026-07-01 10:42:54,45,___ 01_07_2026 10_42_54.png,battle_result_scoreboard,pending,
rot_empirical_20260703_005,1,2026-07-01 10:54:47,2026-07-01 10:54:47,2,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 10_54_47.png,battle_result_scoreboard,pending,
rot_empirical_20260703_006,1,2026-07-01 10:58:56,2026-07-01 10:58:56,3,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 10_58_56.png,battle_result_scoreboard,pending,
rot_empirical_20260703_007,1,2026-07-01 11:19:27,2026-07-01 11:19:27,4,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 11_19_27.png,battle_result_scoreboard,pending,
rot_empirical_20260703_008,2,2026-07-01 15:40:40,2026-07-01 15:41:03,5|6,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 15_40_40.png|Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 15_41_03.png,battle_result_scoreboard,pending,
rot_empirical_20260703_009,1,2026-07-01 16:29:58,2026-07-01 16:29:58,7,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 16_29_58.png,battle_result_scoreboard,pending,
rot_empirical_20260703_010,2,2026-07-01 17:16:57,2026-07-01 17:17:00,8|9,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 17_16_57.png|Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 17_17_00.png,battle_result_scoreboard,pending,
