troop_name,samples,battles,total_kills,total_present,median_kills_per_present,median_contribution_index,median_campaign_contribution,mean_death_rate,mean_casualty_rate,overall_kills_per_present
Frey Assassin,6,rot_empirical_20260703_008|rot_empirical_20260703_009|rot_empirical_20260703_014|rot_empirical_20260703_015|rot_empirical_20260703_016|rot_empirical_20260703_018,217,49,1.2307692307692308,1.3764281811182038,1.3576665025134078,0.0,0.0461538461538461,4.428571428571429
Goldenheart Warrior,9,rot_empirical_20260703_005|rot_empirical_20260703_006|rot_empirical_20260703_007|rot_empirical_20260703_008|rot_empirical_20260703_009|rot_empirical_20260703_014|rot_empirical_20260703_015|rot_empirical_20260703_016|rot_empirical_20260703_018,428,161,2.6666666666666665,1.6113744075829384,1.3222748815165877,0.0249237472766884,0.0806971677559912,2.658385093167702
Westerling Hedgeknight,5,rot_empirical_20260703_007|rot_empirical_20260703_008|rot_empirical_20260703_014|rot_empirical_20260703_015|rot_empirical_20260703_018,87,40,2.142857142857143,1.4500000000000002,1.3000000000000003,0.0,0.1085714285714285,2.175
Qartheen Longbowman,6,rot_empirical_20260703_005|rot_empirical_20260703_006|rot_empirical_20260703_007|rot_empirical_20260703_014|rot_empirical_20260703_015|rot_empirical_20260703_016,96,48,1.8200757575757576,1.3793415948275862,1.2056788793103448,0.0277777777777777,0.1041666666666666,2.0
Myrish Artisan of War,9,rot_empirical_20260703_005|rot_empirical_20260703_006|rot_empirical_20260703_007|rot_empirical_20260703_008|rot_empirical_20260703_009|rot_empirical_20260703_014|rot_empirical_20260703_015|rot_empirical_20260703_016|rot_empirical_20260703_018,194,112,1.8333333333333333,0.9666666666666667,0.9666666666666667,0.0096618357487922,0.0483091787439613,1.7321428571428572
Sarnori Spider,5,rot_empirical_20260703_014|rot_empirical_20260703_015|rot_empirical_20260703_016|rot_empirical_20260703_017|rot_empirical_20260703_018,58,52,0.9166666666666666,0.8374060150375939,0.8374060150375939,0.0222222222222222,0.0666666666666666,1.1153846153846154
Ravens' Teeth,6,rot_empirical_20260703_008|rot_empirical_20260703_009|rot_empirical_20260703_014|rot_empirical_20260703_015|rot_empirical_20260703_016|rot_empirical_20260703_018,136,79,1.3611111111111112,0.7250803843167539,0.7152702249573119,0.0114942528735632,0.0368773946360153,1.7215189873417722
Riverlands Admiral,6,rot_empirical_20260703_005|rot_empirical_20260703_006|rot_empirical_20260703_007|rot_empirical_20260703_008|rot_empirical_20260703_009|rot_empirical_20260703_014,132,56,1.603896103896104,0.8608896103896105,0.7148551948051948,0.0578703703703703,0.4981481481481482,2.357142857142857
Dragonstone Elite Halberdier,6,rot_empirical_20260703_005|rot_empirical_20260703_006|rot_empirical_20260703_007|rot_empirical_20260703_008|rot_empirical_20260703_014|rot_empirical_20260703_015,243,107,1.7307692307692308,0.9068462401795735,0.7048605281030445,0.0689655172413793,0.2126436781609195,2.2710280373831777
Grafton Flaming Knight,3,rot_empirical_20260703_014|rot_empirical_20260703_017|rot_empirical_20260703_018,22,40,0.3333333333333333,0.7774739130434783,0.6827695652173913,0.1111111111111111,0.1286549707602339,0.55
Mallister Eagle Knight,4,rot_empirical_20260703_008|rot_empirical_20260703_014|rot_empirical_20260703_017|rot_empirical_20260703_018,28,18,1.0,0.6067069839704064,0.5407988493420121,0.0357142857142857,0.0357142857142857,1.5555555555555556
Black Goat Sacrificer,4,rot_empirical_20260703_015|rot_empirical_20260703_016|rot_empirical_20260703_017|rot_empirical_20260703_018,26,54,0.4285714285714285,0.491165566353187,0.491165566353187,0.0,0.0,0.4814814814814814
Ibbenese Navigator,3,rot_empirical_20260703_016|rot_empirical_20260703_017|rot_empirical_20260703_018,10,15,0.3333333333333333,0.3552631578947368,0.3552631578947368,0.0833333333333333,0.3333333333333333,0.6666666666666666
Lyseni Enforcer,9,rot_empirical_20260703_005|rot_empirical_20260703_006|rot_empirical_20260703_008|rot_empirical_20260703_009|rot_empirical_20260703_014|rot_empirical_20260703_015|rot_empirical_20260703_016|rot_empirical_20260703_018,342,178,0.4,0.3867303711897463,0.2791584943419086,0.056429362880886,0.2582393885037087,1.9213483146067416
