troop_id,name,best_melee_item,family,kinetic_status,profile_source,missing_fields,kinetic_application_factor,profile_swing_damage,profile_swing_speed,profile_handling,profile_reach,profile_weight,profile_has_thrust,profile_thrust_damage,profile_thrust_speed
westerling_hedgeknight,Westerling Hedgeknight,westerling_hammer,onehand_blunt,applied_family_prior,low_confidence_family_prior,,0.648462,67.5,76.4,75.0,75.0,1.9,False,0.0,0.0
ravens_teeth,Ravens' Teeth,vlandia_sword_3_t4,onehand_sword,missing_sensitivity_input,unchanged_v43,swing_damage,1.0,,,,,,,,
mallister_houseguard,Mallister House Guard,mallister_hammer,onehand_blunt,applied_family_prior,low_confidence_family_prior,,0.648462,58.5,81.6,75.0,75.0,1.9,False,0.0,0.0
summer_master_longbowman,Goldenheart Warrior,simple_sabre_sword_t2,onehand_sword,missing_sensitivity_input,unchanged_v43,swing_damage,1.0,,,,,,,,
stark_swornsword,Stark Sworn Sword,northern_sword,onehand_sword,applied_family_prior,low_confidence_family_prior,,0.81694,63.0,98.316,90.0,100.0,1.3,True,47.25,88.48440000000001
tarly_vanguard,Tarly Vanguard,vlandia_sword_3_t4,onehand_sword,applied_family_prior,low_confidence_family_prior,,0.81694,64.35,100.17,90.0,100.0,1.3,True,48.262499999999996,90.153
ibbenese_navigator,Ibbenese Navigator,ibb_sword,onehand_sword,applied_family_prior,low_confidence_family_prior,,0.81694,64.5,93.7,90.0,100.0,1.3,True,48.375,84.33
baratheon_pikeknight,Baratheon Hammerknight,spiked_polehammer,swing_polearm,applied_family_prior,low_confidence_family_prior,,0.794816,54.0,73.08,70.0,135.0,2.3,False,0.0,0.0
enthroned_guardian,Qartheen Enthroned Guardian,qarth_sword,onehand_sword,missing_sensitivity_input,unchanged_v43,swing_damage,1.0,,,,,,,,
river_admiral,Riverlands Admiral,vlandia_sword_3_t4,onehand_sword,applied_family_prior,low_confidence_family_prior,,0.81694,64.35,100.17,90.0,100.0,1.3,True,48.262499999999996,90.153
ibbenese_whaler,Ibbenese Whaler,ibb_sword,onehand_sword,applied_family_prior,low_confidence_family_prior,,0.81694,64.5,93.7,90.0,100.0,1.3,True,48.375,84.33
qohorik_falxman,Qohorik Falxman,battania_2hsword_4_t4,twohand,applied_family_prior,low_confidence_family_prior,,0.888735,80.85,92.412,75.0,115.0,2.2,False,0.0,0.0
qartheen_elite_hoplite,Qartheen Elite Hoplite,qarth_sword,onehand_sword,applied_family_prior,low_confidence_family_prior,,0.81694,64.5,92.5,90.0,100.0,1.3,True,48.375,83.25
grafton_flameknight,Grafton Flaming Knight,grafton_axe,onehand_axe,applied_family_prior,low_confidence_family_prior,,0.677126,67.5,80.4,78.0,78.0,1.7,False,0.0,0.0
mounted_priest,Norvoshi Grand Bearded Priest,dorne_sword,onehand_sword,applied_family_prior,low_confidence_family_prior,,0.81694,60.0,99.972,90.0,100.0,1.3,True,45.0,89.9748
qartheen_longbowman,Qartheen Longbowman,qarth_sword,onehand_sword,missing_sensitivity_input,unchanged_v43,swing_damage,1.0,,,,,,,,
harlaw_captain,Harlaw Captain,war_scythe,swing_polearm,applied_family_prior,low_confidence_family_prior,,0.794816,72.0,76.32,70.0,135.0,2.3,False,0.0,0.0
velaryon_sea_guard,Velaryon Sea Guard,velaryon_cutlass,onehand_sword,applied_family_prior,low_confidence_family_prior,,0.81694,67.5,89.1,90.0,100.0,1.3,True,50.625,80.19
myrish_artisan,Myrish Artisan of War,aserai_sword_5_t4,onehand_sword,missing_sensitivity_input,unchanged_v43,swing_damage,1.0,,,,,,,,
greyjoy_fingerdancer,Greyjoy Finger Dancer,sturgia_sword_5_t4,onehand_sword,applied_family_prior,low_confidence_family_prior,,0.81694,62.7,100.8,90.0,100.0,1.3,True,47.025000000000006,90.72
