troop_id,found,troop_name,level,upgrade_depth,tree_tier,line_status,culture,default_group,roster_count,has_bow,has_crossbow,has_shield,has_horse,has_throwing,armor_total_avg,shield_hp_max,horse_speed_max,horse_harness_armor_max,direct_weapon_items,crafted_weapon_items,crafted_templates,parser_verdict
battanian_fian_champion,True,Battanian Fian Champion,31.0,5.0,5.0,noble_line,battania,Ranged,3,True,False,False,False,False,167.0,0.0,0.0,0.0,bodkin_arrows_a|woodland_longbow,battania_2hsword_5_t4,TwoHandedSword,parser looks plausible
khuzait_khans_guard,True,Khuzait Khan's Guard,31.0,5.0,5.0,noble_line,khuzait,HorseArcher,3,True,False,False,True,False,172.0,0.0,60.0,38.0,composite_steppe_bow|steppe_arrows,khuzait_polearm_1_t4,TwoHandedPolearm,parser looks plausible
imperial_legionary,True,Imperial Legionary,26.0,,,special_or_unlinked,empire,Infantry,3,False,False,True,False,False,194.0,530.0,0.0,0.0,stronger_reinforced_kite_shield,empire_mace_3_t4|empire_sword_5_t4|imperial_throwing_spear_1_t4|imperial_throwing_spear_1_t4_2,Mace|OneHandedSword|TwoHandedPolearm,parser looks plausible
vlandian_sergeant,True,Vlandian Sergeant,26.0,5.0,5.0,main_or_minor_line,vlandia,Infantry,3,False,False,True,False,False,173.0,560.0,0.0,0.0,heavy_heater_shield|tall_heater_shield,vlandia_axe_2_t4|vlandia_mace_2_t4|vlandia_sword_4_t4|western_spear_4_t4,Mace|OneHandedAxe|OneHandedSword|TwoHandedPolearm,parser looks plausible
vlandian_sharpshooter,True,Vlandian Sharpshooter,26.0,,,special_or_unlinked,vlandia,Ranged,1,False,True,True,False,False,138.0,750.0,0.0,0.0,bolt_c|crossbow_f|pavise_shield,vlandia_sword_4_t4,OneHandedSword,parser looks plausible
imperial_elite_cataphract,True,Imperial Elite Cataphract,31.0,5.0,5.0,noble_line,empire,Cavalry,3,False,False,True,True,False,204.0,400.0,59.0,75.0,fortified_kite_shield,empire_lance_2_t4|empire_sword_5_t4,OneHandedSword|TwoHandedPolearm,parser looks plausible
vlandian_banner_knight,True,Vlandian Banner Knight,31.0,5.0,5.0,noble_line,vlandia,Cavalry,3,False,False,True,True,False,189.0,490.0,49.0,64.0,vlandia_infantry_shield_a|wide_heater_shield,vlandia_axe_2_t4|vlandia_lance_2_t4|vlandia_mace_2_t4|vlandia_sword_4_t4,Mace|OneHandedAxe|OneHandedSword|TwoHandedPolearm,parser looks plausible
druzhinnik_champion,True,Sturgian Druzhinnik Champion,31.0,5.0,5.0,noble_line,sturgia,Cavalry,3,False,False,True,True,False,201.67,610.0,57.0,55.0,chivalric_kite_shield|steel_druzhinnik_kite_shield,sturgia_axe_4_t4|sturgia_lance_1_t4|sturgia_sword_5_t4,OneHandedAxe|OneHandedSword|TwoHandedPolearm,parser looks plausible
aserai_vanguard_faris,True,Aserai Vanguard Faris,31.0,5.0,5.0,noble_line,aserai,Cavalry,3,False,False,True,True,True,207.0,360.0,65.0,58.0,ornate_adarga,aserai_lance_1_t5|aserai_sword_4_t4|eastern_javelin_3_t4,Javelin|OneHandedSword|TwoHandedPolearm,parser looks plausible
khuzait_darkhan,True,Khuzait Darkhan,26.0,5.0,5.0,main_or_minor_line,khuzait,Infantry,3,False,False,True,False,False,180.67,340.0,0.0,0.0,steppe_guardian_shield,eastern_throwing_spear_2_t4|khuzait_sword_5_t4,OneHandedSword|TwoHandedPolearm,parser looks plausible
