troop_id,tree_root_id,upgrade_depth,tree_tier,upgrade_path,line_status,line_status_corrected,name,level,occupation,culture,default_group,has_upgrade_targets
aserai_faris,aserai_youth,3,3,aserai_youth|aserai_tribal_horseman|aserai_faris,noble_line,noble_line,Aserai Faris,21.0,Soldier,aserai,Cavalry,True
aserai_footman,aserai_recruit,3,3,aserai_recruit|aserai_tribesman|aserai_footman,main_or_minor_line,main_or_minor_line,Aserai Footman,16.0,Soldier,aserai,Infantry,True
aserai_infantry,aserai_recruit,4,4,aserai_recruit|aserai_tribesman|aserai_footman|aserai_infantry,main_or_minor_line,main_or_minor_line,Aserai Infantry,21.0,Soldier,aserai,Infantry,True
aserai_mameluke_axeman,aserai_recruit,3,3,aserai_recruit|aserai_mameluke_soldier|aserai_mameluke_axeman,main_or_minor_line,main_or_minor_line,Aserai Mamluke Axeman,16.0,Soldier,aserai,Infantry,True
aserai_mameluke_cavalry,aserai_recruit,4,4,aserai_recruit|aserai_mameluke_soldier|aserai_mameluke_regular|aserai_mameluke_cavalry,main_or_minor_line,main_or_minor_line,Aserai Mamluke Cavalry,21.0,Soldier,aserai,HorseArcher,True
aserai_mameluke_guard,aserai_recruit,4,4,aserai_recruit|aserai_mameluke_soldier|aserai_mameluke_axeman|aserai_mameluke_guard,main_or_minor_line,main_or_minor_line,Aserai Mamluke Guard,21.0,Soldier,aserai,Infantry,True
aserai_mameluke_heavy_cavalry,aserai_recruit,5,5,aserai_recruit|aserai_mameluke_soldier|aserai_mameluke_regular|aserai_mameluke_cavalry|aserai_mameluke_heavy_cavalry,main_or_minor_line,main_or_minor_line,Aserai Mamluke Heavy Cavalry,26.0,Soldier,aserai,HorseArcher,False
aserai_mameluke_regular,aserai_recruit,3,3,aserai_recruit|aserai_mameluke_soldier|aserai_mameluke_regular,main_or_minor_line,main_or_minor_line,Aserai Mamluke Regular,16.0,Soldier,aserai,Cavalry,True
aserai_mameluke_soldier,aserai_recruit,2,2,aserai_recruit|aserai_mameluke_soldier,main_or_minor_line,main_or_minor_line,Aserai Mamluke Soldier,11.0,Soldier,aserai,Infantry,True
aserai_marine_t4,aserai_marine_t4,1,1,aserai_marine_t4,main_or_minor_line,main_or_minor_line,Aserai Veteran Sailor,21.0,Soldier,aserai,Ranged,True
aserai_marine_t5,aserai_marine_t4,2,2,aserai_marine_t4|aserai_marine_t5,main_or_minor_line,main_or_minor_line,Aserai Bahriyyah,26.0,Soldier,aserai,Ranged,False
aserai_recruit,aserai_recruit,1,1,aserai_recruit,main_or_minor_line,main_or_minor_line,Aserai Recruit,6.0,Soldier,aserai,Infantry,True
aserai_tribal_horseman,aserai_youth,2,2,aserai_youth|aserai_tribal_horseman,noble_line,noble_line,Aserai Tribal Horseman,16.0,Soldier,aserai,Cavalry,True
aserai_tribesman,aserai_recruit,2,2,aserai_recruit|aserai_tribesman,main_or_minor_line,main_or_minor_line,Aserai Tribesman,11.0,Soldier,aserai,Infantry,True
aserai_vanguard_faris,aserai_youth,5,5,aserai_youth|aserai_tribal_horseman|aserai_faris|aserai_veteran_faris|aserai_vanguard_faris,noble_line,noble_line,Aserai Vanguard Faris,31.0,Soldier,aserai,Cavalry,False
aserai_veteran_faris,aserai_youth,4,4,aserai_youth|aserai_tribal_horseman|aserai_faris|aserai_veteran_faris,noble_line,noble_line,Aserai Veteran Faris,26.0,Soldier,aserai,Cavalry,True
aserai_veteran_infantry,aserai_recruit,5,5,aserai_recruit|aserai_tribesman|aserai_footman|aserai_infantry|aserai_veteran_infantry,main_or_minor_line,main_or_minor_line,Aserai Veteran Infantry,26.0,Soldier,aserai,Infantry,False
aserai_youth,aserai_youth,1,1,aserai_youth,noble_line,noble_line,Aserai Youth,11.0,Soldier,aserai,Cavalry,True
balcoth_archer,balcoth_volunteer,3,3,balcoth_volunteer|balcoth_footman|balcoth_archer,main_or_minor_line,main_or_minor_line,[Rhûn] Balcoth Archer,21.0,Soldier,khuzait,Ranged,True
balcoth_axeman,balcoth_volunteer,3,3,balcoth_volunteer|balcoth_footman|balcoth_axeman,main_or_minor_line,main_or_minor_line,[Rhûn] Balcoth Axeman,21.0,Soldier,khuzait,Infantry,True
balcoth_farshot_horse_archer,balcoth_volunteer,5,5,balcoth_volunteer|balcoth_footman|balcoth_archer|balcoth_horse_archer|balcoth_farshot_horse_archer,main_or_minor_line,main_or_minor_line,[Rhûn] Balcoth Farshot Horse Archer,31.0,Soldier,khuzait,HorseArcher,False
balcoth_footman,balcoth_volunteer,2,2,balcoth_volunteer|balcoth_footman,main_or_minor_line,main_or_minor_line,[Rhûn] Balcoth Footman,16.0,Soldier,khuzait,Infantry,True
balcoth_horse_archer,balcoth_volunteer,4,4,balcoth_volunteer|balcoth_footman|balcoth_archer|balcoth_horse_archer,main_or_minor_line,main_or_minor_line,[Rhûn] Balcoth Horse Archer,26.0,Soldier,khuzait,HorseArcher,True
balcoth_veteran_axeman,balcoth_volunteer,4,4,balcoth_volunteer|balcoth_footman|balcoth_axeman|balcoth_veteran_axeman,main_or_minor_line,main_or_minor_line,[Rhûn] Balcoth Veteran Axeman,26.0,Soldier,khuzait,Infantry,False
balcoth_volunteer,balcoth_volunteer,1,1,balcoth_volunteer,main_or_minor_line,main_or_minor_line,[Rhûn] Balcoth Volunteer,11.0,Soldier,khuzait,Infantry,True
battanian_clanwarrior,battanian_volunteer,2,2,battanian_volunteer|battanian_clanwarrior,main_or_minor_line,main_or_minor_line,Battanian Clan Warrior,11.0,Soldier,battania,Infantry,True
battanian_falxman,battanian_volunteer,4,4,battanian_volunteer|battanian_woodrunner|battanian_raider|battanian_falxman,main_or_minor_line,main_or_minor_line,Battanian Falxman,21.0,Soldier,battania,Infantry,True
battanian_fian,battanian_highborn_youth,4,4,battanian_highborn_youth|battanian_highborn_warrior|battanian_hero|battanian_fian,noble_line,noble_line,Battanian Fian,26.0,Soldier,battania,Ranged,True
battanian_fian_champion,battanian_highborn_youth,5,5,battanian_highborn_youth|battanian_highborn_warrior|battanian_hero|battanian_fian|battanian_fian_champion,noble_line,noble_line,Battanian Fian Champion,31.0,Soldier,battania,Ranged,False
battanian_hero,battanian_highborn_youth,3,3,battanian_highborn_youth|battanian_highborn_warrior|battanian_hero,noble_line,noble_line,Battanian Hero,21.0,Soldier,battania,Ranged,True
