item_id,reason,added_by,date
ar_ardunian_elite_armour,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_cts_rohan_royal_guard_helmet_tail,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_roha_cape1,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armguard1,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armguard2,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armguard3,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armguard4,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor1,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor111,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor1111,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor2,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor22,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor222,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor2222,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor3,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor3333,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor4,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor444,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor4444,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor_captain,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_armor_captain1,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_boots1,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_boots3,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_boots4,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_cape2,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_cape3,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_cape4,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_captain_boots,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_captain_boots1,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_captain_bracer,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_captain_bracers1,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_helmet1,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
cts_rohan_helmet1a,item_defs_absent_from_xml_export_20260729_025002_taom_modules_ship_almost_no_item_xml,aferrer,2026-07-30
