source_troop_id,target_troop_id
looter,imperial_infantryman
deserter,imperial_trained_infantryman
sea_raiders_bandit,nord_axe_warrior
sea_raiders_raider,nord_boandi
sea_raiders_chief,nord_berserkr
mountain_bandits_bandit,mountain_bandits_raider
mountain_bandits_bandit,vlandian_infantry
mountain_bandits_raider,vlandian_billman
mountain_bandits_raider,mountain_bandits_chief
mountain_bandits_chief,vlandian_champion
forest_bandits_bandit,forest_bandits_raider
forest_bandits_bandit,battanian_raider
forest_bandits_raider,forest_bandits_chief
forest_bandits_raider,battanian_falxman
forest_bandits_chief,battanian_fian
desert_bandits_bandit,desert_bandits_raider
desert_bandits_bandit,aserai_skirmisher
desert_bandits_raider,desert_bandits_chief
desert_bandits_raider,aserai_mameluke_cavalry
desert_bandits_chief,aserai_veteran_faris
steppe_bandits_bandit,steppe_bandits_raider
steppe_bandits_bandit,khuzait_raider
steppe_bandits_raider,steppe_bandits_chief
steppe_bandits_raider,khuzait_lancer
steppe_bandits_chief,khuzait_kheshig
borrowed_troop,veteran_borrowed_troop
aserai_recruit,aserai_tribesman
aserai_recruit,aserai_mameluke_soldier
aserai_tribesman,aserai_skirmisher
aserai_tribesman,aserai_footman
aserai_footman,aserai_infantry
aserai_skirmisher,aserai_marine_t4
aserai_archer,aserai_marine_t5
aserai_infantry,aserai_veteran_infantry
aserai_mameluke_soldier,aserai_mameluke_regular
aserai_mameluke_soldier,aserai_mameluke_axeman
aserai_mameluke_regular,aserai_mameluke_cavalry
aserai_mameluke_cavalry,aserai_mameluke_heavy_cavalry
aserai_mameluke_axeman,aserai_mameluke_guard
aserai_mameluke_guard,mamluke_palace_guard
aserai_youth,aserai_tribal_horseman
aserai_tribal_horseman,aserai_faris
aserai_faris,aserai_veteran_faris
aserai_veteran_faris,aserai_vanguard_faris
battanian_volunteer,battanian_clanwarrior
battanian_volunteer,battanian_woodrunner
battanian_clanwarrior,battanian_trained_warrior
battanian_trained_warrior,battanian_picked_warrior
battanian_trained_warrior,battanian_scout
battanian_picked_warrior,battanian_oathsworn
battanian_scout,battanian_horseman
battanian_woodrunner,battanian_raider
battanian_woodrunner,battanian_skirmisher
battanian_raider,battanian_falxman
battanian_skirmisher,battanian_marine_t4
battanian_falxman,battanian_veteran_falxman
battanian_veteran_skirmisher,battanian_marine_t5
battanian_highborn_youth,battanian_highborn_warrior
battanian_highborn_warrior,battanian_hero
battanian_hero,battanian_fian
battanian_fian,battanian_fian_champion
imperial_recruit,imperial_infantryman
imperial_recruit,imperial_archer
imperial_infantryman,empire_marine_t3
imperial_vigla_recruit,imperial_equite
imperial_equite,imperial_heavy_horseman
imperial_heavy_horseman,imperial_cataphract
imperial_cataphract,imperial_elite_cataphract
imperial_trained_infantryman,empire_marine_t4
imperial_veteran_infantryman,empire_marine_t5
imperial_archer,imperial_trained_archer
imperial_trained_archer,imperial_veteran_archer
imperial_trained_archer,imperial_crossbowman
imperial_veteran_archer,imperial_palatine_guard
imperial_veteran_archer,bucellarii
imperial_menavliaton,imperial_elite_menavliaton
imperial_crossbowman,imperial_sergeant_crossbowman
khuzait_nomad,khuzait_tribal_warrior
khuzait_nomad,khuzait_footman
khuzait_footman,khuzait_hunter
khuzait_footman,khuzait_spearman
khuzait_tribal_warrior,khuzait_raider
khuzait_tribal_warrior,khuzait_horseman
khuzait_noble_son,khuzait_qanqli
khuzait_hunter,khuzait_archer
khuzait_spearman,khuzait_spear_infantry
khuzait_raider,khuzait_horse_archer
khuzait_horseman,khuzait_lancer
khuzait_qanqli,khuzait_torguud
khuzait_archer,khuzait_marksman
khuzait_spear_infantry,khuzait_darkhan
khuzait_horse_archer,khuzait_heavy_horse_archer
khuzait_lancer,khuzait_heavy_lancer
khuzait_torguud,khuzait_kheshig
khuzait_kheshig,khuzait_khans_guard
sturgian_recruit,sturgian_warrior
sturgian_recruit,sturgian_woodsman
sturgian_warrior,sturgia_marine_t3
sturgian_soldier,sturgia_marine_t4
sturgian_warrior_son,varyag
varyag,varyag_veteran
varyag_veteran,druzhinnik
druzhinnik,druzhinnik_champion
sturgian_woodsman,sturgian_brigand
sturgian_woodsman,sturgian_hunter
sturgian_hunter,sturgian_archer
sturgian_archer,sturgian_veteran_bowman
sturgian_brigand,sturgian_hardened_brigand
sturgian_hardened_brigand,sturgian_horse_raider
sturgian_berzerker,sturgian_ulfhednar
sturgian_spearman,sturgia_marine_t5
vlandian_recruit,vlandian_levy_crossbowman
vlandian_recruit,vlandian_footman
vlandian_footman,vlandian_spearman
vlandian_footman,vlandian_light_cavalry
vlandian_spearman,vlandian_billman
vlandian_spearman,vlandian_swordsman
vlandian_billman,vlandian_voulgier
vlandian_billman,vlandian_pikeman
vlandian_infantry,vlandian_swordsman
vlandian_swordsman,vlandian_sergeant
vlandian_light_cavalry,vlandian_cavalry
vlandian_cavalry,vlandian_vanguard
vlandian_levy_crossbowman,vlandian_crossbowman
vlandian_crossbowman,vlandian_marine_t4
vlandian_hardened_crossbowman,vlandian_marine_t5
vlandian_squire,vlandian_gallant
vlandian_gallant,vlandian_knight
vlandian_knight,vlandian_champion
vlandian_champion,vlandian_banner_knight
ghilman_tier_1,ghilman_tier_2
ghilman_tier_2,ghilman_tier_3
legion_of_the_betrayed_tier_1,legion_of_the_betrayed_tier_2
legion_of_the_betrayed_tier_2,legion_of_the_betrayed_tier_3
skolderbrotva_tier_1,skolderbrotva_tier_2
skolderbrotva_tier_2,skolderbrotva_tier_3
company_of_the_boar_tier_1,company_of_the_boar_tier_2
company_of_the_boar_tier_2,company_of_the_boar_tier_3
beni_zilal_tier_1,beni_zilal_tier_2
beni_zilal_tier_2,beni_zilal_tier_3
wolfskins_tier_1,wolfskins_tier_2
wolfskins_tier_2,wolfskins_tier_3
hidden_hand_tier_1,hidden_hand_tier_2
hidden_hand_tier_2,hidden_hand_tier_3
lakepike_tier_1,lakepike_tier_2
lakepike_tier_2,lakepike_tier_3
brotherhood_of_woods_tier_1,brotherhood_of_woods_tier_2
brotherhood_of_woods_tier_2,brotherhood_of_woods_tier_3
embers_of_flame_tier_1,embers_of_flame_tier_2
embers_of_flame_tier_2,embers_of_flame_tier_3
jawwal_tier_1,jawwal_tier_2
jawwal_tier_2,jawwal_tier_3
karakhuzaits_tier_1,karakhuzaits_tier_2
karakhuzaits_tier_2,karakhuzaits_tier_3
forest_people_tier_1,forest_people_tier_2
forest_people_tier_2,forest_people_tier_3
eleftheroi_tier_1,eleftheroi_tier_2
eleftheroi_tier_2,eleftheroi_tier_3
sword_sisters_sister_t3,sword_sisters_sister_t4
sword_sisters_sister_t4,sword_sisters_sister_t5
sword_sisters_sister_t4,sword_sisters_sister_infantry_t5
eastern_mercenary,eastern_mounted_mercenary_t4
eastern_mercenary,eastern_mercenary_t4
eastern_mercenary_t4,eastern_mercenary_t5
eastern_mounted_mercenary_t4,eastern_mounted_mercenary_t5
western_mercenary,western_mercenary_t4
western_mercenary,western_crossbow_t4
western_mercenary_t4,western_mercenary_t5
western_crossbow_t4,western_crossbow_t5
gangster_1,gangster_2
gangster_2,gangster_3
guardians_tier_1,guardians_tier_2
guardians_tier_2,guardians_tier_3
galloglass_tier_1,galloglass_tier_2
galloglass_tier_2,galloglass_tier_3
mercenary_1,mercenary_2
mercenary_1,mercenary_3
mercenary_2,mercenary_4
mercenary_2,mercenary_5
mercenary_3,mercenary_6
mercenary_4,mercenary_7
mercenary_5,mercenary_8
mercenary_6,mercenary_9
villager_khuzait,khuzait_nomad
villager_empire,imperial_recruit
villager_aserai,aserai_recruit
villager_sturgia,sturgian_recruit
villager_vlandia,vlandian_recruit
villager_battania,battanian_volunteer
nord_youngling,nord_drengr
nord_youngling,nord_huntsman
nord_drengr,nord_axe_warrior
nord_drengr,nord_spear_warrior
nord_axe_warrior,nord_boandi
nord_axe_warrior,nord_hew-bearer
nord_spear_warrior,nord_vargr
nord_boandi,nord_berserkr
nord_ungmann,nord_thegn
nord_thegn,nord_jarlsmann
nord_jarlsmann,nord_hirdmann
nord_hirdmann,nord_huscarl
nord_huntsman,nord_freeman_archer
nord_freeman_archer,nord_marksman
nord_marksman,nord_skathi
nord_hew-bearer,nord_skjaldbrestir
nord_vargr,nord_ulfhednar
villager_nord,nord_youngling
southern_pirates_bandit,southern_pirates_raider
southern_pirates_raider,southern_pirates_chief
southern_pirates_raider,aserai_marine_t4
southern_pirates_chief,aserai_marine_t5
vlandian_marine_t4,vlandian_marine_t5
aserai_marine_t4,aserai_marine_t5
battanian_marine_t4,battanian_marine_t5
empire_marine_t3,empire_marine_t4
empire_marine_t4,empire_marine_t5
sturgia_marine_t3,sturgia_marine_t4
sturgia_marine_t4,sturgia_marine_t5
